timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
5614749,-2.75,0.38,-10.95,-0.12,0.09,0.03,frisson
5614763,-2.43,0.39,-11.08,-0.12,0.01,0.01,frisson
5614777,-2.63,0.46,-11.24,-0.1,-0.07,0.01,frisson
5614791,-2.6,0.43,-11.08,-0.1,-0.09,0.01,frisson
5614805,-2.99,0.38,-11.17,-0.09,-0.06,0.01,frisson
5614819,-2.92,0.36,-11.19,-0.1,0.01,0.02,frisson
5614833,-2.8,0.26,-10.93,-0.11,0.07,0.03,frisson
5614847,-2.59,0.18,-10.92,-0.11,0.1,0.03,frisson
5614861,-2.38,0.22,-11.29,-0.1,0.07,0.05,frisson
5614875,-2.62,0.36,-11.68,-0.08,0.02,0.07,frisson
5614889,-2.8,0.28,-12.1,-0.04,-0.01,0.07,frisson
5614903,-2.93,0.42,-12.39,0.01,-0.04,0.07,frisson
5614917,-2.94,0.39,-12.16,0.05,-0.04,0.06,frisson
5614931,-3.1,0.33,-11.6,0.07,-0.06,0.04,frisson
5614945,-3.37,0.28,-10.98,0.08,0.0,0.01,frisson
5614959,-3.27,0.37,-10.91,0.07,0.05,-0.01,frisson
5614973,-3.1,0.41,-10.93,0.08,0.08,-0.02,frisson
5614987,-3.0,0.37,-10.81,0.08,0.09,-0.02,frisson
5615001,-2.98,0.42,-10.6,0.07,0.09,-0.02,frisson
5615015,-2.9,0.34,-10.41,0.05,0.09,-0.02,frisson
5615029,-2.7,0.32,-10.39,0.03,0.07,-0.02,frisson
5615043,-2.69,0.28,-10.53,0.0,0.06,-0.01,frisson
5615057,-2.84,0.3,-10.69,-0.01,0.04,-0.01,frisson
5615071,-2.85,0.27,-10.72,-0.03,0.06,-0.0,frisson
5615085,-2.87,0.3,-10.92,-0.04,0.07,-0.0,frisson
5615099,-2.9,0.38,-11.05,-0.03,0.07,-0.0,frisson
5615113,-2.89,0.38,-11.04,-0.03,0.06,-0.01,frisson
