timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
724981,-0.45,-0.88,-11.86,0.04,0.07,0.02,frisson_allonge
724995,-0.26,-0.86,-11.62,0.04,0.02,0.01,frisson_allonge
725009,-0.53,-0.88,-11.40,0.05,0.01,-0.00,frisson_allonge
725023,-0.48,-0.97,-11.26,0.03,0.04,-0.01,frisson_allonge
725037,-0.39,-1.12,-10.91,0.02,0.06,-0.02,frisson_allonge
725051,-0.38,-1.29,-10.62,-0.01,0.04,-0.03,frisson_allonge
725065,-0.28,-1.20,-10.91,-0.03,0.05,-0.01,frisson_allonge
725079,-0.14,-1.21,-11.08,-0.05,0.03,0.01,frisson_allonge
725093,-0.34,-1.06,-11.30,-0.05,-0.01,0.03,frisson_allonge
725107,-0.08,-0.95,-11.72,-0.05,-0.05,0.04,frisson_allonge
725121,0.04,-0.88,-11.87,-0.03,-0.21,0.05,frisson_allonge
725135,0.14,-0.87,-11.85,-0.01,-0.37,0.05,frisson_allonge
725149,-0.03,-0.84,-11.87,0.01,-0.60,0.05,frisson_allonge
725163,-0.35,-0.86,-11.42,0.03,-0.72,0.05,frisson_allonge
725177,-0.87,-0.87,-11.34,0.04,-0.73,0.05,frisson_allonge
725191,-1.40,-0.94,-11.27,0.05,-0.53,0.06,frisson_allonge
725205,-1.53,-1.04,-11.33,0.05,-0.31,0.07,frisson_allonge
725219,-1.38,-1.10,-11.34,0.06,-0.16,0.06,frisson_allonge
725233,-1.49,-1.14,-11.09,0.06,-0.07,0.06,frisson_allonge
725247,-1.82,-1.15,-10.72,0.05,0.02,0.04,frisson_allonge
725261,-2.43,-1.11,-10.37,0.05,0.28,0.02,frisson_allonge
725275,-3.15,-0.94,-10.60,0.03,0.88,-0.00,frisson_allonge
725289,-2.15,-0.92,-11.56,0.03,1.61,-0.02,frisson_allonge
725303,-0.60,-0.95,-12.33,0.06,1.89,-0.02,frisson_allonge
725317,0.98,-1.07,-12.42,0.08,1.55,-0.05,frisson_allonge
725331,2.08,-1.33,-11.68,0.08,0.53,-0.09,frisson_allonge
725345,2.16,-1.20,-11.22,0.05,-0.56,-0.12,frisson_allonge
725359,1.71,-1.01,-11.34,0.05,-1.57,-0.14,frisson_allonge
725373,-0.17,-0.92,-11.48,0.07,-1.97,-0.13,frisson_allonge
725387,-0.82,-1.16,-11.17,0.06,-1.84,-0.11,frisson_allonge
725401,-1.71,-1.15,-10.57,0.03,-1.53,-0.07,frisson_allonge
725415,-3.53,-1.19,-10.09,0.03,-0.60,-0.05,frisson_allonge
725429,-2.38,-1.13,-10.36,-0.01,0.34,-0.04,frisson_allonge
725443,-1.59,-1.20,-10.90,-0.01,0.92,-0.00,frisson_allonge
725457,-1.10,-1.29,-11.18,-0.02,1.23,0.02,frisson_allonge
725471,-0.46,-1.10,-11.50,-0.01,1.22,0.03,frisson_allonge
725485,1.13,-1.17,-11.75,-0.01,0.71,0.02,frisson_allonge
725499,0.48,-1.01,-11.79,-0.00,-0.01,0.02,frisson_allonge
725513,-0.08,-0.95,-11.83,0.02,-0.41,0.00,frisson_allonge
725527,-0.54,-0.99,-11.74,0.04,-0.60,0.01,frisson_allonge
725541,-0.99,-1.07,-11.32,0.04,-0.60,0.01,frisson_allonge
725555,-1.98,-0.85,-11.14,0.07,-0.29,0.01,frisson_allonge
725569,-2.21,-0.96,-11.07,0.08,0.27,-0.01,frisson_allonge
725583,-1.83,-1.07,-11.32,0.08,0.76,-0.01,frisson_allonge
725597,-1.09,-1.11,-11.31,0.08,1.02,-0.00,frisson_allonge
725611,-0.11,-1.30,-11.37,0.08,0.91,-0.01,frisson_allonge
725625,0.40,-1.29,-11.17,0.06,0.47,0.00,frisson_allonge
725639,0.52,-1.28,-11.23,0.04,-0.06,-0.01,frisson_allonge
725653,-0.11,-1.21,-11.23,0.03,-0.42,-0.00,frisson_allonge
725667,-0.44,-1.27,-11.24,0.01,-0.61,-0.01,frisson_allonge
725681,-1.10,-1.07,-11.25,0.03,-0.53,0.00,frisson_allonge
725695,-1.45,-1.07,-11.23,0.04,-0.15,-0.00,frisson_allonge
725709,-1.09,-1.14,-11.25,0.03,0.16,-0.00,frisson_allonge
725723,-0.81,-1.10,-11.32,0.03,0.29,0.00,frisson_allonge
725737,-0.43,-1.15,-11.24,0.03,0.25,0.01,frisson_allonge
725751,-0.24,-1.15,-11.27,0.02,0.13,0.02,frisson_allonge
725765,-0.05,-1.24,-11.17,0.00,-0.04,0.02,frisson_allonge
725779,-0.22,-1.19,-11.15,-0.02,-0.23,0.03,frisson_allonge
725793,-0.54,-1.16,-11.01,-0.04,-0.38,0.03,frisson_allonge
725807,-1.17,-1.06,-11.09,-0.03,-0.33,0.04,frisson_allonge
725821,-1.73,-1.11,-11.21,-0.00,-0.03,0.03,frisson_allonge
725835,-1.69,-1.16,-11.56,0.01,0.30,0.02,frisson_allonge
725849,-1.29,-1.16,-11.75,0.02,0.56,0.01,frisson_allonge
725863,-0.76,-1.20,-11.73,0.04,0.59,0.01,frisson_allonge
725877,-0.51,-1.26,-11.29,0.05,0.47,0.02,frisson_allonge
725891,-0.21,-1.23,-11.13,0.04,0.31,0.01,frisson_allonge
725905,-0.05,-1.17,-11.34,0.03,0.00,0.00,frisson_allonge
725919,-0.39,-1.19,-11.51,0.03,-0.14,-0.01,frisson_allonge
725933,-0.40,-1.19,-11.72,0.04,-0.26,-0.02,frisson_allonge
725947,-0.40,-1.13,-11.92,0.06,-0.36,-0.01,frisson_allonge
725961,-0.51,-1.13,-11.67,0.07,-0.42,-0.01,frisson_allonge
725975,-0.93,-0.98,-11.17,0.09,-0.38,-0.00,frisson_allonge
725989,-1.12,-1.11,-10.80,0.09,-0.15,-0.01,frisson_allonge
726003,-0.92,-1.15,-10.81,0.06,0.06,-0.00,frisson_allonge
726017,-0.75,-1.27,-10.69,0.04,0.14,0.00,frisson_allonge
726031,-0.59,-1.35,-10.63,-0.00,0.10,0.01,frisson_allonge
726045,-0.61,-1.40,-10.76,-0.03,0.03,0.03,frisson_allonge
726059,-0.66,-1.34,-11.05,-0.06,-0.05,0.05,frisson_allonge
726073,-0.77,-1.18,-11.49,-0.06,-0.06,0.06,frisson_allonge
726087,-0.97,-1.15,-11.60,-0.04,0.01,0.07,frisson_allonge
726101,-0.95,-1.10,-11.79,-0.02,0.08,0.06,frisson_allonge
726115,-1.04,-1.03,-11.57,-0.00,0.13,0.04,frisson_allonge
726129,-0.71,-1.09,-11.48,0.01,0.11,0.03,frisson_allonge
726143,-0.68,-1.09,-11.43,0.02,0.02,0.02,frisson_allonge
726157,-0.74,-1.17,-11.41,0.02,-0.06,0.01,frisson_allonge
726171,-0.89,-1.18,-11.52,0.03,-0.12,0.01,frisson_allonge
726185,-1.03,-1.24,-11.37,0.03,-0.12,0.01,frisson_allonge
726199,-0.98,-1.23,-11.26,0.03,-0.09,0.00,frisson_allonge
726213,-1.12,-1.24,-10.93,0.03,-0.06,-0.01,frisson_allonge
726227,-0.93,-1.24,-11.09,0.01,-0.07,-0.01,frisson_allonge
726241,-0.82,-1.24,-11.13,0.01,-0.10,-0.01,frisson_allonge
726255,-0.36,-1.29,-11.18,-0.01,-0.28,-0.01,frisson_allonge
726269,-0.54,-1.15,-11.30,-0.01,-0.49,0.01,frisson_allonge
726283,-0.88,-1.16,-11.32,-0.01,-0.54,0.02,frisson_allonge
726297,-1.37,-1.08,-11.18,-0.01,-0.41,0.04,frisson_allonge
726311,-1.71,-1.12,-11.00,-0.01,-0.08,0.04,frisson_allonge
726325,-1.58,-1.12,-11.18,-0.00,0.20,0.03,frisson_allonge
726339,-1.46,-1.11,-11.27,-0.00,0.42,0.03,frisson_allonge
726353,-1.24,-1.16,-11.40,0.00,0.50,0.02,frisson_allonge
726367,-1.16,-1.18,-11.38,0.01,0.48,0.02,frisson_allonge
726381,-1.10,-1.24,-11.27,0.01,0.38,0.01,frisson_allonge
726395,-0.27,-1.30,-11.41,-0.00,0.10,-0.00,frisson_allonge
726409,-0.38,-1.14,-11.45,0.00,-0.19,0.00,frisson_allonge
726423,-0.61,-1.20,-11.39,0.01,-0.40,0.00,frisson_allonge
726437,-1.30,-1.09,-11.44,0.02,-0.43,-0.00,frisson_allonge
726451,-1.86,-1.06,-11.25,0.04,-0.11,-0.01,frisson_allonge
726465,-1.39,-1.05,-11.17,0.04,0.21,-0.01,frisson_allonge
726479,-1.34,-1.00,-10.95,0.04,0.36,-0.01,frisson_allonge
726493,-1.26,-1.00,-11.02,0.01,0.54,0.01,frisson_allonge
726507,-0.83,-1.25,-11.28,0.00,0.55,0.02,frisson_allonge
726521,-0.40,-1.30,-11.24,-0.00,0.40,0.02,frisson_allonge
726535,-0.29,-1.37,-11.45,-0.00,0.12,0.01,frisson_allonge
726549,-0.51,-1.19,-11.32,-0.00,-0.04,0.01,frisson_allonge
726563,-0.54,-1.32,-11.40,-0.01,-0.19,0.00,frisson_allonge
726577,-0.74,-1.19,-11.48,0.00,-0.31,0.01,frisson_allonge
726591,-0.92,-1.12,-11.24,0.00,-0.32,0.01,frisson_allonge
726605,-1.51,-0.95,-11.09,0.02,-0.18,0.01,frisson_allonge
726619,-1.67,-1.07,-11.06,0.02,0.10,0.01,frisson_allonge
