timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1240536,0.94,8.59,-4.64,0.02,1.42,-0.16,frisson_assis_bras_cote
1240550,0.28,8.49,-4.63,0.02,0.40,-0.08,frisson_assis_bras_cote
1240564,-0.40,8.51,-4.66,0.01,-0.37,-0.02,frisson_assis_bras_cote
1240578,-1.26,8.56,-4.90,0.01,-0.86,0.02,frisson_assis_bras_cote
1240592,-2.10,8.69,-4.85,0.00,-1.01,0.05,frisson_assis_bras_cote
1240606,-2.69,8.77,-4.80,0.01,-0.89,0.07,frisson_assis_bras_cote
1240620,-2.84,8.76,-4.63,0.01,-0.60,0.07,frisson_assis_bras_cote
1240634,-2.77,8.74,-4.57,0.00,-0.33,0.07,frisson_assis_bras_cote
1240648,-2.36,8.78,-4.62,-0.01,-0.14,0.07,frisson_assis_bras_cote
1240662,-1.84,8.75,-4.57,-0.02,-0.16,0.08,frisson_assis_bras_cote
1240676,-2.52,8.96,-4.43,-0.01,-0.08,0.08,frisson_assis_bras_cote
1240690,-2.59,9.04,-4.57,-0.02,0.08,0.07,frisson_assis_bras_cote
1240704,-2.88,9.03,-4.71,-0.02,0.27,0.05,frisson_assis_bras_cote
1240718,-2.72,9.05,-4.65,-0.01,0.52,0.03,frisson_assis_bras_cote
1240732,-2.18,9.02,-4.60,-0.01,0.62,0.01,frisson_assis_bras_cote
1240746,-1.66,8.91,-4.68,-0.01,0.55,0.00,frisson_assis_bras_cote
1240760,-0.91,8.88,-4.76,-0.02,0.18,0.01,frisson_assis_bras_cote
1240774,-1.05,8.84,-4.77,-0.01,-0.24,0.04,frisson_assis_bras_cote
1240788,-1.27,8.87,-4.82,0.00,-0.62,0.07,frisson_assis_bras_cote
1240802,-1.82,8.87,-4.72,0.01,-0.85,0.09,frisson_assis_bras_cote
1240816,-3.25,9.03,-4.36,0.03,-0.69,0.10,frisson_assis_bras_cote
1240830,-3.71,8.93,-4.35,0.03,-0.19,0.07,frisson_assis_bras_cote
1240844,-3.72,8.95,-4.44,0.02,0.30,0.05,frisson_assis_bras_cote
1240858,-3.54,8.94,-4.54,0.01,0.83,0.03,frisson_assis_bras_cote
1240872,-2.60,8.91,-4.54,0.01,1.12,0.01,frisson_assis_bras_cote
1240886,-1.40,8.80,-4.66,0.00,1.04,0.01,frisson_assis_bras_cote
1240900,-0.21,8.68,-4.82,-0.00,0.41,0.04,frisson_assis_bras_cote
1240914,-0.58,8.74,-4.87,0.00,-0.28,0.07,frisson_assis_bras_cote
1240928,-0.78,8.78,-4.75,0.02,-0.93,0.10,frisson_assis_bras_cote
1240942,-1.96,8.90,-4.61,0.03,-1.27,0.12,frisson_assis_bras_cote
1240956,-3.83,8.94,-4.30,0.05,-0.99,0.09,frisson_assis_bras_cote
1240970,-4.53,8.97,-4.27,0.05,-0.32,0.05,frisson_assis_bras_cote
1240984,-4.69,8.98,-4.44,0.05,0.50,-0.01,frisson_assis_bras_cote
1240998,-4.06,9.01,-4.53,0.03,1.30,-0.07,frisson_assis_bras_cote
1241012,-2.69,8.95,-4.73,0.01,1.70,-0.10,frisson_assis_bras_cote
1241026,-0.72,8.79,-4.89,-0.00,1.43,-0.10,frisson_assis_bras_cote
1241040,-0.11,8.71,-4.97,-0.01,0.73,-0.07,frisson_assis_bras_cote
1241054,0.01,8.66,-4.97,-0.00,-0.09,-0.03,frisson_assis_bras_cote
1241068,-0.27,8.66,-4.85,0.01,-0.90,0.02,frisson_assis_bras_cote
1241082,-1.66,8.77,-4.79,0.02,-1.34,0.05,frisson_assis_bras_cote
1241096,-2.45,8.77,-4.69,0.03,-1.40,0.06,frisson_assis_bras_cote
1241110,-4.10,8.92,-4.36,0.05,-1.01,0.05,frisson_assis_bras_cote
1241124,-4.47,8.80,-4.26,0.05,-0.20,0.00,frisson_assis_bras_cote
1241138,-4.16,8.87,-4.44,0.04,0.52,-0.03,frisson_assis_bras_cote
1241152,-3.48,8.91,-4.64,0.03,1.17,-0.05,frisson_assis_bras_cote
1241166,-2.20,8.86,-4.70,0.02,1.39,-0.06,frisson_assis_bras_cote
1241180,-0.91,8.79,-4.91,0.01,1.19,-0.05,frisson_assis_bras_cote
1241194,-0.13,8.77,-5.03,0.01,0.52,-0.02,frisson_assis_bras_cote
1241208,-0.36,8.74,-4.96,0.02,-0.19,0.01,frisson_assis_bras_cote
1241222,-0.44,8.73,-4.94,0.02,-0.87,0.04,frisson_assis_bras_cote
1241236,-1.59,8.78,-4.77,0.03,-1.29,0.05,frisson_assis_bras_cote
1241250,-2.37,8.87,-4.62,0.05,-1.34,0.05,frisson_assis_bras_cote
1241264,-3.85,8.99,-4.19,0.06,-0.91,0.02,frisson_assis_bras_cote
1241278,-4.33,8.97,-4.20,0.06,-0.20,-0.03,frisson_assis_bras_cote
1241292,-4.11,8.97,-4.49,0.04,0.53,-0.06,frisson_assis_bras_cote
1241306,-3.34,9.00,-4.58,0.04,1.15,-0.08,frisson_assis_bras_cote
1241320,-1.69,8.86,-4.64,0.02,1.28,-0.09,frisson_assis_bras_cote
1241334,-0.55,8.82,-4.80,0.01,0.88,-0.06,frisson_assis_bras_cote
1241348,0.08,8.77,-5.02,0.00,0.17,-0.03,frisson_assis_bras_cote
1241362,-0.16,8.71,-4.84,0.01,-0.61,0.02,frisson_assis_bras_cote
1241376,-1.08,8.78,-4.69,0.03,-1.19,0.06,frisson_assis_bras_cote
1241390,-2.47,8.87,-4.36,0.04,-1.30,0.07,frisson_assis_bras_cote
1241404,-4.07,8.92,-4.12,0.06,-0.81,0.04,frisson_assis_bras_cote
1241418,-4.33,8.89,-4.34,0.05,-0.06,0.00,frisson_assis_bras_cote
1241432,-4.18,8.92,-4.49,0.03,0.64,-0.03,frisson_assis_bras_cote
1241446,-3.13,8.89,-4.60,0.02,1.21,-0.05,frisson_assis_bras_cote
1241460,-1.78,8.84,-4.59,0.01,1.32,-0.05,frisson_assis_bras_cote
1241474,-0.74,8.76,-4.78,-0.00,1.02,-0.03,frisson_assis_bras_cote
1241488,-0.07,8.77,-4.84,-0.01,0.32,0.01,frisson_assis_bras_cote
1241502,-0.52,8.77,-4.72,-0.00,-0.36,0.05,frisson_assis_bras_cote
1241516,-1.04,8.76,-4.67,0.00,-0.94,0.09,frisson_assis_bras_cote
1241530,-2.03,8.83,-4.63,0.01,-1.16,0.10,frisson_assis_bras_cote
1241544,-3.09,8.91,-4.47,0.02,-0.99,0.09,frisson_assis_bras_cote
1241558,-4.07,8.99,-4.31,0.03,-0.44,0.06,frisson_assis_bras_cote
1241572,-3.90,8.87,-4.34,0.01,0.24,0.02,frisson_assis_bras_cote
