timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1184684,-0.84,-0.59,-11.19,0.01,-0.25,0.08,frisson_assis_bras_table
1184698,-0.91,-0.46,-11.16,0.01,-0.51,0.12,frisson_assis_bras_table
1184712,-1.43,-0.47,-11.16,-0.00,-0.60,0.15,frisson_assis_bras_table
1184726,-2.55,-0.30,-11.38,0.01,-0.46,0.15,frisson_assis_bras_table
1184740,-3.18,-0.13,-11.42,0.06,-0.10,0.14,frisson_assis_bras_table
1184754,-2.98,-0.54,-10.65,0.06,0.13,0.08,frisson_assis_bras_table
1184768,-2.35,-0.59,-10.63,0.03,0.28,0.06,frisson_assis_bras_table
1184782,-2.47,-0.59,-10.71,-0.01,0.43,0.06,frisson_assis_bras_table
1184796,-2.44,-0.52,-11.23,-0.03,0.51,0.04,frisson_assis_bras_table
1184810,-1.83,-0.20,-11.61,-0.01,0.50,0.00,frisson_assis_bras_table
1184824,-1.44,-0.35,-11.23,0.01,0.42,-0.00,frisson_assis_bras_table
1184838,-1.16,-0.45,-11.21,0.01,0.28,0.01,frisson_assis_bras_table
1184852,-0.77,-0.40,-11.38,-0.01,0.04,0.03,frisson_assis_bras_table
1184866,-0.73,-0.47,-11.21,-0.02,-0.24,0.06,frisson_assis_bras_table
1184880,-1.10,-0.52,-11.20,-0.02,-0.36,0.10,frisson_assis_bras_table
1184894,-1.15,-0.22,-11.64,0.02,-0.32,0.14,frisson_assis_bras_table
1184908,-2.32,-0.25,-11.35,0.06,-0.31,0.12,frisson_assis_bras_table
1184922,-1.95,-0.33,-10.91,0.08,-0.21,0.13,frisson_assis_bras_table
1184936,-2.52,-0.49,-10.90,0.07,-0.08,0.12,frisson_assis_bras_table
1184950,-2.13,-0.52,-10.96,0.05,0.06,0.12,frisson_assis_bras_table
1184964,-2.26,-0.50,-10.94,0.04,0.17,0.11,frisson_assis_bras_table
1184978,-2.59,-0.37,-11.15,0.02,0.26,0.08,frisson_assis_bras_table
1184992,-2.42,-0.29,-11.15,0.03,0.36,0.04,frisson_assis_bras_table
1185006,-2.26,-0.32,-11.14,0.03,0.44,-0.01,frisson_assis_bras_table
1185020,-1.75,-0.32,-11.36,0.03,0.40,-0.05,frisson_assis_bras_table
1185034,-1.22,-0.36,-11.34,0.04,0.27,-0.08,frisson_assis_bras_table
1185048,-0.22,-0.31,-11.27,0.02,-0.01,-0.07,frisson_assis_bras_table
1185062,-0.50,-0.43,-11.14,0.00,-0.49,-0.04,frisson_assis_bras_table
1185076,-1.12,-0.38,-11.21,-0.00,-0.74,-0.02,frisson_assis_bras_table
1185090,-1.50,-0.50,-11.10,-0.00,-0.79,0.02,frisson_assis_bras_table
1185104,-2.72,-0.51,-11.11,0.01,-0.49,0.06,frisson_assis_bras_table
1185118,-2.98,0.02,-12.01,0.06,-0.10,0.05,frisson_assis_bras_table
1185132,-2.36,-0.67,-10.68,0.08,0.18,-0.01,frisson_assis_bras_table
1185146,-2.79,-0.63,-10.40,0.04,0.33,-0.01,frisson_assis_bras_table
1185160,-2.55,-0.43,-11.10,0.02,0.58,-0.02,frisson_assis_bras_table
1185174,-2.08,-0.42,-11.30,0.02,0.63,-0.04,frisson_assis_bras_table
1185188,-1.78,-0.40,-11.31,0.03,0.53,-0.06,frisson_assis_bras_table
1185202,-1.64,-0.52,-11.21,0.02,0.32,-0.08,frisson_assis_bras_table
1185216,-1.34,-0.45,-11.30,0.02,0.07,-0.12,frisson_assis_bras_table
1185230,-0.45,-0.56,-11.16,-0.00,-0.25,-0.11,frisson_assis_bras_table
1185244,-1.18,-0.55,-10.90,-0.02,-0.61,-0.07,frisson_assis_bras_table
1185258,-1.61,-0.50,-11.12,-0.04,-0.65,-0.04,frisson_assis_bras_table
1185272,-3.52,-0.34,-11.22,-0.01,-0.23,-0.00,frisson_assis_bras_table
