timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
5584747,-0.7,1.89,-11.43,0.12,0.04,-0.09,repos
5584761,-0.79,1.86,-11.47,0.13,0.04,-0.09,repos
5584775,-0.92,1.88,-11.45,0.14,0.05,-0.1,repos
5584789,-1.02,1.89,-11.41,0.15,0.07,-0.11,repos
5584803,-1.03,1.89,-11.51,0.16,0.09,-0.13,repos
5584817,-0.98,1.77,-11.49,0.17,0.09,-0.15,repos
5584831,-0.9,1.79,-11.51,0.18,0.06,-0.16,repos
5584845,-0.96,1.67,-11.55,0.19,0.02,-0.18,repos
5584859,-1.05,1.64,-11.56,0.2,-0.01,-0.19,repos
5584873,-1.04,1.61,-11.65,0.2,-0.03,-0.2,repos
5584887,-1.16,1.65,-11.74,0.2,-0.02,-0.2,repos
5584901,-1.16,1.6,-11.78,0.21,0.01,-0.21,repos
5584915,-1.1,1.55,-11.68,0.23,0.08,-0.21,repos
5584929,-1.09,1.56,-11.67,0.24,0.13,-0.22,repos
5584943,-1.04,1.58,-11.66,0.27,0.13,-0.24,repos
5584957,-0.97,1.52,-11.61,0.3,0.09,-0.26,repos
5584971,-1.0,1.56,-11.43,0.32,0.04,-0.29,repos
5584985,-1.18,1.52,-11.4,0.33,0.04,-0.32,repos
5584999,-1.24,1.42,-11.36,0.33,0.1,-0.35,repos
5585013,-1.21,1.32,-11.3,0.32,0.15,-0.38,repos
5585027,-1.06,1.3,-11.31,0.31,0.2,-0.42,repos
5585041,-0.95,1.18,-11.2,0.3,0.21,-0.44,repos
5585055,-0.89,1.09,-11.13,0.29,0.2,-0.46,repos
5585069,-0.77,1.08,-11.26,0.29,0.2,-0.47,repos
5585083,-0.78,1.0,-11.23,0.29,0.19,-0.47,repos
5585097,-0.68,0.94,-11.29,0.29,0.19,-0.48,repos
5585111,-0.59,0.94,-11.26,0.29,0.18,-0.47,repos
5585125,-0.59,0.89,-11.27,0.29,0.17,-0.46,repos
5585139,-0.52,0.81,-11.27,0.29,0.15,-0.44,repos
5585153,-0.53,0.77,-11.3,0.29,0.11,-0.43,repos
5585167,-0.59,0.72,-11.38,0.3,0.1,-0.43,repos
5585181,-0.66,0.62,-11.31,0.3,0.1,-0.43,repos
5585195,-0.63,0.6,-11.34,0.3,0.12,-0.44,repos
5585209,-0.66,0.52,-11.26,0.29,0.14,-0.44,repos
5585223,-0.64,0.47,-11.35,0.29,0.16,-0.44,repos
5585237,-0.54,0.4,-11.27,0.29,0.19,-0.44,repos
5585251,-0.52,0.38,-11.33,0.29,0.2,-0.44,repos
5585265,-0.48,0.32,-11.21,0.28,0.19,-0.44,repos
5585279,-0.41,0.29,-11.3,0.28,0.18,-0.44,repos
5585293,-0.42,0.21,-11.32,0.27,0.18,-0.43,repos
5585307,-0.44,0.19,-11.42,0.27,0.17,-0.43,repos
5585321,-0.34,0.17,-11.36,0.27,0.15,-0.42,repos
5585335,-0.34,0.12,-11.35,0.28,0.13,-0.41,repos
5585349,-0.42,0.03,-11.39,0.28,0.12,-0.41,repos
5585363,-0.32,0.02,-11.43,0.28,0.12,-0.41,repos
5585377,-0.37,-0.02,-11.42,0.29,0.11,-0.41,repos
5585391,-0.46,-0.11,-11.36,0.29,0.1,-0.41,repos
5585405,-0.37,-0.11,-11.35,0.29,0.1,-0.42,repos
5585419,-0.47,-0.17,-11.33,0.29,0.1,-0.42,repos
5585433,-0.45,-0.23,-11.25,0.29,0.14,-0.43,repos
5585447,-0.42,-0.24,-11.32,0.28,0.17,-0.44,repos
5585461,-0.33,-0.3,-11.19,0.28,0.19,-0.44,repos
5585475,-0.27,-0.4,-11.05,0.27,0.17,-0.44,repos
5585489,-0.21,-0.44,-11.06,0.25,0.16,-0.43,repos
5585503,-0.22,-0.47,-11.06,0.23,0.15,-0.42,repos
5585517,-0.18,-0.47,-11.08,0.21,0.14,-0.41,repos
5585531,-0.22,-0.39,-11.04,0.2,0.12,-0.4,repos
5585545,-0.24,-0.48,-11.03,0.18,0.13,-0.4,repos
5585559,-0.22,-0.41,-11.01,0.16,0.15,-0.39,repos
5585573,-0.21,-0.38,-11.12,0.15,0.18,-0.39,repos
5585587,-0.17,-0.47,-11.06,0.14,0.19,-0.39,repos
5585601,-0.09,-0.46,-11.0,0.13,0.19,-0.38,repos
5585615,-0.03,-0.44,-10.91,0.13,0.18,-0.38,repos
5585629,-0.06,-0.48,-10.87,0.12,0.13,-0.36,repos
5585643,0.02,-0.4,-10.84,0.11,0.1,-0.35,repos
5585657,-0.13,-0.44,-10.75,0.1,0.08,-0.34,repos
5585671,-0.1,-0.44,-10.7,0.09,0.06,-0.32,repos
5585685,-0.03,-0.53,-10.76,0.08,0.05,-0.3,repos
5585699,-0.04,-0.67,-10.71,0.08,0.01,-0.28,repos
5585713,-0.24,-0.66,-10.84,0.06,-0.02,-0.28,repos
5585727,-0.2,-0.71,-10.98,0.04,-0.02,-0.29,repos
5585741,-0.24,-0.72,-11.1,0.03,-0.01,-0.3,repos
5585755,-0.11,-0.66,-11.18,0.03,-0.0,-0.31,repos
5585769,-0.05,-0.68,-11.25,0.03,0.01,-0.31,repos
5585783,-0.07,-0.61,-11.32,0.04,0.01,-0.31,repos
5585797,0.14,-0.54,-11.38,0.05,0.01,-0.3,repos
5585811,0.1,-0.59,-11.37,0.06,-0.01,-0.29,repos
5585825,0.12,-0.58,-11.37,0.07,-0.02,-0.29,repos
5585839,0.22,-0.48,-11.45,0.07,-0.04,-0.28,repos
5585853,0.17,-0.48,-11.53,0.07,-0.05,-0.28,repos
5585867,0.12,-0.46,-11.59,0.08,-0.04,-0.28,repos
5585881,0.13,-0.44,-11.49,0.08,-0.01,-0.28,repos
5585895,0.05,-0.49,-11.39,0.08,0.02,-0.28,repos
5585909,0.17,-0.5,-11.34,0.07,0.03,-0.28,repos
5585923,0.11,-0.48,-11.28,0.06,0.03,-0.28,repos
5585937,0.14,-0.51,-11.25,0.04,0.03,-0.28,repos
5585951,0.2,-0.45,-11.2,0.02,0.02,-0.27,repos
5585965,0.08,-0.47,-11.17,0.01,0.02,-0.26,repos
5585979,0.01,-0.52,-11.14,0.0,0.04,-0.25,repos
5585993,0.14,-0.55,-11.17,-0.0,0.06,-0.25,repos
5586007,0.12,-0.54,-11.18,-0.01,0.06,-0.24,repos
5586021,0.15,-0.61,-11.25,-0.0,0.06,-0.24,repos
5586035,0.23,-0.64,-11.17,-0.0,0.06,-0.23,repos
5586049,0.26,-0.63,-11.25,-0.0,0.05,-0.23,repos
5586063,0.37,-0.65,-11.33,0.01,0.03,-0.22,repos
5586077,0.28,-0.7,-11.28,0.01,0.02,-0.21,repos
5586091,0.25,-0.72,-11.26,0.01,0.02,-0.19,repos
5586105,0.21,-0.69,-11.24,0.01,0.04,-0.18,repos
5586119,0.21,-0.69,-11.28,0.01,0.07,-0.16,repos
5586133,0.33,-0.56,-11.31,0.01,0.09,-0.14,repos
5586147,0.37,-0.52,-11.21,0.01,0.08,-0.11,repos
5586161,0.37,-0.47,-11.12,0.02,0.05,-0.1,repos
5586175,0.35,-0.39,-11.09,0.01,0.02,-0.08,repos
5586189,0.27,-0.42,-11.14,0.01,0.0,-0.07,repos
5586203,0.22,-0.5,-11.15,0.0,0.01,-0.07,repos
5586217,0.19,-0.52,-11.16,-0.01,0.02,-0.07,repos
5586231,0.18,-0.5,-11.15,-0.02,0.03,-0.06,repos
5586245,0.28,-0.55,-11.14,-0.03,0.01,-0.06,repos
5586259,0.19,-0.64,-11.19,-0.03,0.01,-0.05,repos
5586273,0.16,-0.72,-11.27,-0.04,0.02,-0.05,repos
5586287,0.17,-0.71,-11.29,-0.04,0.03,-0.04,repos
5586301,0.24,-0.81,-11.38,-0.04,0.03,-0.03,repos
5586315,0.24,-0.79,-11.37,-0.03,0.03,-0.02,repos
5586329,0.24,-0.78,-11.41,-0.03,0.02,-0.01,repos
5586343,0.17,-0.79,-11.45,-0.02,0.02,0.01,repos
5586357,0.19,-0.73,-11.43,-0.01,0.02,0.02,repos
5586371,0.11,-0.76,-11.35,-0.0,0.04,0.04,repos
5586385,0.17,-0.83,-11.3,0.0,0.05,0.05,repos
5586399,0.17,-0.87,-11.28,-0.0,0.05,0.06,repos
5586413,0.19,-0.81,-11.19,-0.01,0.01,0.07,repos
5586427,0.1,-0.73,-11.1,-0.02,-0.01,0.07,repos
5586441,0.14,-0.72,-11.11,-0.03,-0.03,0.08,repos
5586455,0.11,-0.74,-10.95,-0.04,-0.04,0.08,repos
5586469,0.09,-0.77,-10.84,-0.06,-0.05,0.1,repos
5586483,0.07,-0.73,-10.92,-0.07,-0.03,0.11,repos
5586497,0.11,-0.79,-10.88,-0.09,0.0,0.12,repos
5586511,0.26,-0.84,-10.86,-0.11,0.04,0.13,repos
5586525,0.42,-0.88,-10.79,-0.13,0.03,0.15,repos
5586539,0.55,-0.93,-10.73,-0.15,-0.01,0.17,repos
5586553,0.56,-0.93,-10.76,-0.16,-0.07,0.2,repos
5586567,0.46,-0.91,-10.83,-0.18,-0.1,0.24,repos
5586581,0.3,-0.93,-10.9,-0.2,-0.12,0.27,repos
5586595,0.23,-0.79,-10.95,-0.2,-0.11,0.31,repos
5586609,0.13,-0.65,-11.05,-0.21,-0.12,0.34,repos
5586623,0.0,-0.53,-11.09,-0.2,-0.15,0.37,repos
5586637,-0.14,-0.48,-11.11,-0.21,-0.14,0.38,repos
5586651,-0.18,-0.4,-11.3,-0.21,-0.13,0.39,repos
5586665,-0.23,-0.31,-11.31,-0.21,-0.14,0.38,repos
5586679,-0.29,-0.27,-11.4,-0.2,-0.19,0.37,repos
5586693,-0.44,-0.24,-11.46,-0.19,-0.21,0.36,repos
5586707,-0.51,-0.23,-11.6,-0.18,-0.23,0.35,repos
5586721,-0.6,-0.16,-11.67,-0.17,-0.23,0.34,repos
5586735,-0.66,-0.19,-11.68,-0.15,-0.24,0.33,repos
5586749,-0.73,-0.19,-11.82,-0.14,-0.24,0.32,repos
5586763,-0.85,-0.15,-11.88,-0.12,-0.24,0.31,repos
5586777,-0.95,-0.23,-11.79,-0.1,-0.23,0.3,repos
5586791,-0.94,-0.31,-11.77,-0.08,-0.21,0.28,repos
5586805,-0.88,-0.29,-11.81,-0.06,-0.21,0.25,repos
5586819,-0.92,-0.21,-11.79,-0.04,-0.22,0.23,repos
5586833,-0.94,-0.19,-11.76,-0.01,-0.24,0.22,repos
5586847,-0.89,-0.19,-11.68,0.01,-0.25,0.2,repos
5586861,-0.99,-0.28,-11.57,0.02,-0.26,0.19,repos
5586875,-0.93,-0.31,-11.49,0.02,-0.26,0.18,repos
5586889,-0.94,-0.42,-11.38,0.01,-0.28,0.18,repos
5586903,-1.11,-0.48,-11.42,-0.02,-0.28,0.18,repos
5586917,-1.18,-0.59,-11.46,-0.05,-0.24,0.19,repos
5586931,-1.28,-0.5,-11.59,-0.07,-0.17,0.19,repos
5586945,-1.2,-0.39,-11.53,-0.09,-0.14,0.19,repos
5586959,-1.09,-0.25,-11.48,-0.09,-0.09,0.19,repos
5586973,-1.08,-0.18,-11.46,-0.09,-0.12,0.19,repos
5586987,-1.1,-0.14,-11.43,-0.08,-0.15,0.2,repos
5587001,-1.27,-0.09,-11.51,-0.07,-0.16,0.19,repos
5587015,-1.38,-0.1,-11.48,-0.07,-0.14,0.19,repos
5587029,-1.4,-0.09,-11.43,-0.08,-0.1,0.18,repos
5587043,-1.36,-0.02,-11.45,-0.08,-0.08,0.17,repos
5587057,-1.31,0.02,-11.36,-0.08,-0.07,0.16,repos
5587071,-1.31,-0.02,-11.29,-0.08,-0.07,0.16,repos
5587085,-1.29,0.0,-11.27,-0.08,-0.04,0.16,repos
5587099,-1.2,0.03,-11.28,-0.08,-0.03,0.16,repos
5587113,-1.19,0.08,-11.19,-0.08,-0.03,0.17,repos
5587127,-1.21,0.13,-11.22,-0.08,-0.04,0.17,repos
5587141,-1.25,0.16,-11.08,-0.08,-0.03,0.17,repos
5587155,-1.19,0.25,-11.18,-0.08,-0.07,0.18,repos
5587169,-1.27,0.32,-11.13,-0.09,-0.08,0.19,repos
5587183,-1.26,0.35,-11.19,-0.09,-0.1,0.19,repos
5587197,-1.39,0.42,-11.16,-0.09,-0.12,0.19,repos
5587211,-1.4,0.42,-11.25,-0.09,-0.12,0.19,repos
5587225,-1.49,0.47,-11.25,-0.1,-0.11,0.19,repos
5587239,-1.56,0.49,-11.3,-0.1,-0.08,0.19,repos
5587253,-1.51,0.51,-11.22,-0.1,-0.06,0.19,repos
5587267,-1.52,0.55,-11.26,-0.1,-0.06,0.18,repos
5587281,-1.58,0.54,-11.25,-0.1,-0.06,0.17,repos
5587295,-1.52,0.6,-11.25,-0.09,-0.09,0.16,repos
5587309,-1.6,0.64,-11.3,-0.09,-0.11,0.15,repos
5587323,-1.57,0.67,-11.16,-0.08,-0.11,0.14,repos
5587337,-1.48,0.55,-11.2,-0.08,-0.11,0.13,repos
5587351,-1.56,0.39,-11.21,-0.09,-0.1,0.13,repos
5587365,-1.63,0.32,-11.27,-0.1,-0.07,0.13,repos
5587379,-1.52,0.29,-11.3,-0.12,-0.03,0.14,repos
5587393,-1.49,0.28,-11.28,-0.13,-0.03,0.15,repos
5587407,-1.44,0.26,-11.26,-0.14,-0.04,0.16,repos
5587421,-1.47,0.31,-11.32,-0.14,-0.06,0.17,repos
5587435,-1.68,0.35,-11.44,-0.14,-0.07,0.17,repos
5587449,-1.74,0.34,-11.46,-0.14,-0.06,0.17,repos
5587463,-1.75,0.48,-11.45,-0.13,-0.05,0.17,repos
5587477,-1.81,0.57,-11.5,-0.11,-0.06,0.16,repos
5587491,-1.86,0.67,-11.29,-0.08,-0.07,0.16,repos
5587505,-1.97,0.68,-11.18,-0.07,-0.13,0.16,repos
5587519,-2.23,0.5,-11.06,-0.05,-0.18,0.16,repos
5587533,-2.42,0.4,-11.04,-0.03,-0.23,0.16,repos
5587547,-2.48,0.49,-10.93,0.0,-0.3,0.16,repos
5587561,-2.72,0.51,-10.73,0.03,-0.37,0.15,repos
5587575,-2.84,0.61,-10.68,0.06,-0.41,0.13,repos
5587589,-2.91,0.65,-10.55,0.09,-0.46,0.1,repos
5587603,-3.08,0.58,-10.52,0.1,-0.5,0.05,repos
5587617,-3.01,0.62,-10.38,0.1,-0.48,-0.0,repos
5587631,-2.91,0.72,-10.19,0.09,-0.48,-0.05,repos
5587645,-2.82,0.76,-10.01,0.07,-0.47,-0.08,repos
5587659,-2.64,0.85,-9.92,0.04,-0.49,-0.11,repos
5587673,-2.66,0.65,-9.98,0.0,-0.47,-0.13,repos
5587687,-2.46,0.66,-10.16,-0.03,-0.46,-0.15,repos
5587701,-2.34,0.64,-10.2,-0.06,-0.46,-0.15,repos
5587715,-2.35,0.66,-10.26,-0.08,-0.46,-0.14,repos
5587729,-2.34,0.73,-10.34,-0.1,-0.46,-0.12,repos
5587743,-2.42,0.7,-10.42,-0.12,-0.47,-0.1,repos
5587757,-2.46,0.74,-10.64,-0.14,-0.45,-0.08,repos
5587771,-2.57,0.74,-10.82,-0.16,-0.44,-0.06,repos
5587785,-2.49,0.66,-10.97,-0.17,-0.39,-0.04,repos
