timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
597182,-0.48,-0.82,-11.38,0.02,0.01,0.01,repos_allongé
597196,-0.59,-0.88,-11.38,0.01,0.02,0.00,repos_allongé
597210,-0.58,-0.91,-11.42,0.01,0.03,0.00,repos_allongé
597224,-0.55,-0.84,-11.43,0.01,0.03,0.00,repos_allongé
597238,-0.53,-0.79,-11.42,0.01,0.03,0.00,repos_allongé
597252,-0.54,-0.83,-11.35,0.01,0.03,0.01,repos_allongé
597266,-0.56,-0.81,-11.31,0.01,0.03,0.01,repos_allongé
597280,-0.56,-0.88,-11.28,0.01,0.03,0.01,repos_allongé
597294,-0.51,-0.88,-11.32,0.01,0.03,0.00,repos_allongé
597308,-0.54,-0.85,-11.37,0.01,0.04,0.00,repos_allongé
597322,-0.52,-0.82,-11.45,0.01,0.03,0.00,repos_allongé
597336,-0.58,-0.89,-11.45,0.01,0.03,-0.00,repos_allongé
597350,-0.47,-0.82,-11.36,0.02,0.03,0.00,repos_allongé
597364,-0.51,-0.84,-11.26,0.02,0.02,0.01,repos_allongé
597378,-0.57,-0.87,-11.26,0.01,0.03,0.01,repos_allongé
597392,-0.63,-0.84,-11.28,0.01,0.04,0.00,repos_allongé
597406,-0.58,-0.81,-11.35,0.01,0.04,0.00,repos_allongé
597420,-0.49,-0.79,-11.40,0.01,0.04,0.00,repos_allongé
597434,-0.45,-0.78,-11.39,0.02,0.03,0.00,repos_allongé
597448,-0.49,-0.85,-11.32,0.02,0.03,0.01,repos_allongé
597462,-0.58,-0.86,-11.30,0.01,0.02,0.01,repos_allongé
597476,-0.57,-0.87,-11.34,0.01,0.03,0.01,repos_allongé
597490,-0.56,-0.84,-11.39,0.01,0.03,0.00,repos_allongé
597504,-0.50,-0.78,-11.48,0.01,0.03,0.00,repos_allongé
597518,-0.56,-0.84,-11.47,0.02,0.03,0.00,repos_allongé
597532,-0.51,-0.84,-11.38,0.02,0.02,0.01,repos_allongé
597546,-0.51,-0.85,-11.37,0.02,0.02,0.01,repos_allongé
597560,-0.48,-0.88,-11.36,0.02,0.01,0.01,repos_allongé
597574,-0.55,-0.87,-11.36,0.01,0.01,0.01,repos_allongé
597588,-0.58,-0.85,-11.44,0.02,0.00,0.01,repos_allongé
597602,-0.53,-0.88,-11.41,0.02,0.01,0.01,repos_allongé
597616,-0.56,-0.83,-11.36,0.02,0.01,0.01,repos_allongé
597630,-0.57,-0.80,-11.40,0.02,0.01,0.01,repos_allongé
597644,-0.59,-0.81,-11.31,0.01,0.02,0.01,repos_allongé
597658,-0.63,-0.85,-11.32,0.01,0.03,0.01,repos_allongé
597672,-0.63,-0.85,-11.32,0.01,0.03,0.00,repos_allongé
597686,-0.57,-0.84,-11.38,0.01,0.03,0.00,repos_allongé
597700,-0.60,-0.85,-11.36,0.01,0.03,0.00,repos_allongé
597714,-0.62,-0.87,-11.43,0.02,0.03,0.00,repos_allongé
597728,-0.56,-0.88,-11.34,0.02,0.03,0.01,repos_allongé
597742,-0.54,-0.92,-11.29,0.01,0.03,0.00,repos_allongé
597756,-0.53,-0.86,-11.34,0.01,0.02,0.01,repos_allongé
597770,-0.56,-0.84,-11.36,0.01,0.02,0.01,repos_allongé
597784,-0.62,-0.80,-11.47,0.01,0.02,0.01,repos_allongé
597798,-0.61,-0.79,-11.37,0.02,0.03,0.01,repos_allongé
597812,-0.55,-0.87,-11.34,0.02,0.02,0.01,repos_allongé
597826,-0.54,-0.84,-11.36,0.02,0.02,0.01,repos_allongé
597840,-0.55,-0.87,-11.34,0.02,0.02,0.01,repos_allongé
597854,-0.59,-0.86,-11.40,0.02,0.01,0.01,repos_allongé
597868,-0.59,-0.89,-11.42,0.02,0.02,0.00,repos_allongé
597882,-0.62,-0.89,-11.34,0.02,0.02,0.01,repos_allongé
597896,-0.60,-0.79,-11.39,0.02,0.02,0.01,repos_allongé
597910,-0.62,-0.77,-11.34,0.02,0.02,0.01,repos_allongé
597924,-0.64,-0.83,-11.29,0.02,0.02,0.01,repos_allongé
597938,-0.60,-0.86,-11.37,0.02,0.03,0.01,repos_allongé
597952,-0.69,-0.92,-11.30,0.02,0.04,0.00,repos_allongé
597966,-0.58,-0.87,-11.35,0.01,0.04,-0.00,repos_allongé
597980,-0.62,-0.86,-11.37,0.01,0.03,0.00,repos_allongé
597994,-0.61,-0.83,-11.33,0.02,0.03,0.00,repos_allongé
598008,-0.65,-0.79,-11.41,0.01,0.03,0.01,repos_allongé
598022,-0.62,-0.82,-11.38,0.01,0.03,0.01,repos_allongé
598036,-0.61,-0.87,-11.31,0.01,0.03,0.00,repos_allongé
598050,-0.66,-0.89,-11.37,0.01,0.04,0.00,repos_allongé
598064,-0.63,-0.90,-11.37,0.01,0.04,0.00,repos_allongé
598078,-0.62,-0.89,-11.39,0.01,0.04,0.00,repos_allongé
598092,-0.59,-0.79,-11.39,0.01,0.03,0.00,repos_allongé
598106,-0.60,-0.80,-11.34,0.01,0.04,0.00,repos_allongé
598120,-0.64,-0.85,-11.33,0.01,0.04,0.00,repos_allongé
598134,-0.60,-0.85,-11.33,0.02,0.04,0.00,repos_allongé
598148,-0.52,-0.85,-11.35,0.01,0.03,0.00,repos_allongé
598162,-0.56,-0.87,-11.36,0.01,0.03,0.00,repos_allongé
598176,-0.65,-0.87,-11.34,0.01,0.03,0.00,repos_allongé
598190,-0.68,-0.81,-11.44,0.01,0.03,0.00,repos_allongé
598204,-0.66,-0.86,-11.42,0.01,0.03,0.00,repos_allongé
598218,-0.62,-0.84,-11.33,0.01,0.04,0.00,repos_allongé
598232,-0.61,-0.89,-11.30,0.01,0.04,0.00,repos_allongé
598246,-0.60,-0.92,-11.27,0.01,0.04,0.00,repos_allongé
598260,-0.61,-0.92,-11.33,0.01,0.04,0.00,repos_allongé
598274,-0.57,-0.88,-11.36,0.00,0.03,0.01,repos_allongé
598288,-0.61,-0.82,-11.41,0.01,0.04,0.00,repos_allongé
598302,-0.65,-0.81,-11.45,0.01,0.04,0.00,repos_allongé
598316,-0.63,-0.85,-11.34,0.02,0.04,0.00,repos_allongé
598330,-0.58,-0.94,-11.31,0.02,0.04,0.00,repos_allongé
598344,-0.55,-0.91,-11.26,0.01,0.04,0.00,repos_allongé
598358,-0.55,-0.88,-11.33,0.01,0.04,0.00,repos_allongé
598372,-0.64,-0.83,-11.40,0.00,0.03,0.01,repos_allongé
598386,-0.73,-0.85,-11.43,0.01,0.03,0.01,repos_allongé
598400,-0.67,-0.82,-11.39,0.01,0.04,0.00,repos_allongé
598414,-0.62,-0.83,-11.26,0.02,0.05,0.00,repos_allongé
598428,-0.58,-0.86,-11.26,0.01,0.04,0.00,repos_allongé
598442,-0.57,-0.92,-11.32,0.01,0.04,0.00,repos_allongé
598456,-0.57,-0.91,-11.35,0.01,0.04,0.00,repos_allongé
598470,-0.62,-0.85,-11.50,0.01,0.03,0.00,repos_allongé
598484,-0.66,-0.82,-11.45,0.01,0.03,0.00,repos_allongé
598498,-0.68,-0.79,-11.35,0.01,0.04,0.00,repos_allongé
598512,-0.61,-0.84,-11.30,0.02,0.04,0.00,repos_allongé
598526,-0.63,-0.83,-11.25,0.01,0.04,-0.00,repos_allongé
598540,-0.56,-0.85,-11.30,0.01,0.04,0.00,repos_allongé
598554,-0.52,-0.90,-11.33,0.01,0.04,0.00,repos_allongé
598568,-0.60,-0.89,-11.39,0.01,0.03,0.00,repos_allongé
598582,-0.66,-0.88,-11.47,0.01,0.03,0.00,repos_allongé
598596,-0.66,-0.85,-11.37,0.01,0.04,0.00,repos_allongé
598610,-0.59,-0.80,-11.39,0.01,0.04,0.00,repos_allongé
598624,-0.65,-0.81,-11.30,0.01,0.04,0.00,repos_allongé
598638,-0.61,-0.79,-11.35,0.01,0.04,0.00,repos_allongé
598652,-0.58,-0.88,-11.31,0.01,0.04,0.00,repos_allongé
598666,-0.58,-0.94,-11.37,0.01,0.04,0.01,repos_allongé
598680,-0.57,-0.87,-11.40,0.01,0.04,0.00,repos_allongé
598694,-0.64,-0.90,-11.46,0.01,0.04,0.01,repos_allongé
598708,-0.68,-0.87,-11.40,0.01,0.04,0.00,repos_allongé
598722,-0.61,-0.87,-11.36,0.01,0.04,0.00,repos_allongé
598736,-0.56,-0.83,-11.30,0.01,0.04,0.00,repos_allongé
598750,-0.58,-0.91,-11.31,0.01,0.04,0.00,repos_allongé
598764,-0.56,-0.82,-11.33,0.01,0.04,0.00,repos_allongé
598778,-0.64,-0.84,-11.34,0.01,0.03,0.00,repos_allongé
598792,-0.61,-0.89,-11.38,0.01,0.03,0.01,repos_allongé
598806,-0.59,-0.89,-11.39,0.01,0.03,0.00,repos_allongé
598820,-0.62,-0.89,-11.36,0.01,0.03,0.00,repos_allongé
598834,-0.61,-0.86,-11.36,0.01,0.03,0.00,repos_allongé
598848,-0.62,-0.80,-11.38,0.01,0.03,0.00,repos_allongé
598862,-0.67,-0.82,-11.44,0.01,0.04,0.00,repos_allongé
598876,-0.62,-0.81,-11.37,0.01,0.04,0.00,repos_allongé
598890,-0.50,-0.85,-11.35,0.01,0.04,0.00,repos_allongé
598904,-0.59,-0.87,-11.34,0.01,0.03,0.00,repos_allongé
598918,-0.60,-0.91,-11.30,0.01,0.03,0.01,repos_allongé
598932,-0.63,-0.86,-11.37,0.01,0.03,0.00,repos_allongé
598946,-0.65,-0.84,-11.38,0.01,0.03,0.00,repos_allongé
598960,-0.59,-0.80,-11.38,0.01,0.04,0.00,repos_allongé
598974,-0.64,-0.80,-11.36,0.01,0.04,0.00,repos_allongé
598988,-0.61,-0.84,-11.36,0.01,0.04,0.00,repos_allongé
599002,-0.56,-0.82,-11.32,0.01,0.03,0.00,repos_allongé
599016,-0.52,-0.85,-11.34,0.01,0.03,0.00,repos_allongé
599030,-0.59,-0.85,-11.39,0.01,0.03,0.00,repos_allongé
599044,-0.64,-0.86,-11.37,0.01,0.03,0.00,repos_allongé
599058,-0.67,-0.78,-11.43,0.01,0.03,0.00,repos_allongé
599072,-0.63,-0.80,-11.33,0.01,0.04,0.00,repos_allongé
599086,-0.58,-0.87,-11.31,0.01,0.04,0.00,repos_allongé
599100,-0.54,-0.88,-11.29,0.01,0.04,0.00,repos_allongé
599114,-0.56,-0.90,-11.31,0.01,0.04,0.00,repos_allongé
599128,-0.58,-0.84,-11.36,0.01,0.03,0.00,repos_allongé
599142,-0.60,-0.83,-11.38,0.01,0.04,0.00,repos_allongé
599156,-0.65,-0.85,-11.43,0.01,0.04,0.00,repos_allongé
599170,-0.63,-0.85,-11.33,0.02,0.04,0.00,repos_allongé
599184,-0.62,-0.87,-11.34,0.01,0.04,0.00,repos_allongé
599198,-0.56,-0.89,-11.30,0.01,0.04,0.00,repos_allongé
599212,-0.59,-0.87,-11.35,0.01,0.04,0.00,repos_allongé
599226,-0.64,-0.88,-11.41,0.01,0.04,0.01,repos_allongé
599240,-0.69,-0.80,-11.41,0.01,0.03,0.01,repos_allongé
599254,-0.63,-0.84,-11.41,0.01,0.04,0.00,repos_allongé
599268,-0.56,-0.84,-11.31,0.02,0.04,0.00,repos_allongé
599282,-0.59,-0.83,-11.29,0.01,0.04,0.00,repos_allongé
599296,-0.60,-0.89,-11.32,0.01,0.03,0.00,repos_allongé
599310,-0.58,-0.87,-11.32,0.01,0.03,0.00,repos_allongé
599324,-0.61,-0.87,-11.38,0.01,0.03,0.00,repos_allongé
599338,-0.58,-0.85,-11.40,0.01,0.03,0.00,repos_allongé
599352,-0.61,-0.83,-11.37,0.01,0.03,0.00,repos_allongé
599366,-0.63,-0.86,-11.32,0.01,0.03,0.00,repos_allongé
599380,-0.65,-0.84,-11.34,0.01,0.04,0.00,repos_allongé
599394,-0.56,-0.86,-11.32,0.01,0.04,-0.00,repos_allongé
599408,-0.57,-0.88,-11.35,0.01,0.04,0.00,repos_allongé
599422,-0.62,-0.81,-11.43,0.01,0.03,0.00,repos_allongé
599436,-0.70,-0.82,-11.42,0.01,0.03,0.00,repos_allongé
599450,-0.62,-0.80,-11.37,0.01,0.03,0.00,repos_allongé
599464,-0.61,-0.82,-11.36,0.01,0.04,0.00,repos_allongé
599478,-0.59,-0.86,-11.30,0.01,0.04,0.00,repos_allongé
599492,-0.61,-0.90,-11.34,0.01,0.04,-0.00,repos_allongé
599506,-0.61,-0.86,-11.37,0.01,0.05,-0.00,repos_allongé
