timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
970899,-2.06,-0.46,-11.11,0.01,0.04,-0.01,repos_assis
970913,-2.01,-0.48,-11.07,0.01,0.03,-0.01,repos_assis
970927,-2.01,-0.45,-11.11,0.01,0.03,-0.01,repos_assis
970941,-2.05,-0.41,-11.16,0.01,0.03,-0.01,repos_assis
970955,-2.04,-0.47,-11.08,0.01,0.03,-0.01,repos_assis
970969,-2.01,-0.44,-11.12,0.01,0.03,-0.00,repos_assis
970983,-2.02,-0.43,-11.11,0.01,0.03,-0.00,repos_assis
970997,-2.01,-0.48,-11.15,0.01,0.04,-0.00,repos_assis
971011,-2.08,-0.47,-11.15,0.01,0.03,-0.00,repos_assis
971025,-2.09,-0.51,-11.08,0.01,0.03,-0.00,repos_assis
971039,-2.04,-0.48,-11.08,0.01,0.03,-0.00,repos_assis
971053,-2.01,-0.44,-11.12,0.01,0.03,-0.00,repos_assis
971067,-2.03,-0.47,-11.10,0.01,0.03,-0.00,repos_assis
971081,-2.09,-0.48,-11.10,0.01,0.03,-0.00,repos_assis
971095,-2.08,-0.46,-11.09,0.01,0.04,-0.00,repos_assis
971109,-2.00,-0.48,-11.13,0.01,0.05,-0.00,repos_assis
971123,-2.06,-0.46,-11.13,0.01,0.04,-0.00,repos_assis
971137,-2.03,-0.45,-11.15,0.01,0.04,0.00,repos_assis
971151,-2.09,-0.48,-11.09,0.01,0.03,0.00,repos_assis
971165,-1.97,-0.43,-11.13,0.01,0.03,0.00,repos_assis
971179,-2.00,-0.46,-11.16,0.01,0.03,0.00,repos_assis
971193,-2.04,-0.44,-11.10,0.01,0.02,0.00,repos_assis
971207,-2.05,-0.51,-11.08,0.01,0.03,0.00,repos_assis
971221,-2.06,-0.45,-11.11,0.01,0.03,-0.00,repos_assis
971235,-2.00,-0.41,-11.09,0.01,0.03,-0.00,repos_assis
971249,-2.03,-0.44,-11.09,0.01,0.03,-0.00,repos_assis
971263,-2.04,-0.45,-11.06,0.01,0.04,-0.00,repos_assis
971277,-2.08,-0.49,-11.09,0.01,0.04,0.00,repos_assis
971291,-2.01,-0.45,-11.11,0.01,0.04,0.00,repos_assis
971305,-2.03,-0.46,-11.16,0.01,0.04,0.00,repos_assis
971319,-2.03,-0.45,-11.12,0.01,0.04,0.00,repos_assis
971333,-2.03,-0.46,-11.15,0.01,0.04,0.00,repos_assis
971347,-2.02,-0.47,-11.10,0.01,0.04,-0.00,repos_assis
971361,-2.01,-0.46,-11.17,0.01,0.03,-0.00,repos_assis
971375,-2.03,-0.41,-11.14,0.01,0.02,-0.01,repos_assis
971389,-2.01,-0.52,-11.09,0.01,0.04,-0.00,repos_assis
971403,-2.04,-0.47,-11.07,0.01,0.04,-0.00,repos_assis
971417,-2.06,-0.49,-11.12,0.01,0.03,0.00,repos_assis
971431,-2.03,-0.48,-11.14,0.01,0.03,0.00,repos_assis
971445,-2.01,-0.43,-11.05,0.01,0.03,-0.00,repos_assis
971459,-2.07,-0.47,-11.13,0.01,0.03,0.00,repos_assis
971473,-2.09,-0.49,-11.11,0.01,0.03,-0.00,repos_assis
971487,-2.09,-0.49,-11.16,0.01,0.03,0.00,repos_assis
971501,-2.03,-0.48,-11.10,0.01,0.04,0.00,repos_assis
