timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1077257,-3.04,8.66,-4.35,0.01,0.02,-0.01,repos_initial
1077271,-3.01,8.73,-4.33,0.02,0.02,-0.01,repos_initial
1077285,-2.98,8.69,-4.37,0.01,0.03,-0.01,repos_initial
1077299,-2.93,8.71,-4.33,0.01,0.04,-0.01,repos_initial
1077313,-2.93,8.69,-4.32,0.01,0.05,-0.00,repos_initial
1077327,-3.00,8.67,-4.36,0.01,0.05,0.00,repos_initial
1077341,-3.01,8.62,-4.41,0.00,0.05,0.01,repos_initial
1077355,-2.96,8.69,-4.44,0.00,0.05,0.01,repos_initial
1077369,-2.96,8.68,-4.39,0.01,0.05,0.01,repos_initial
1077383,-2.97,8.66,-4.37,0.01,0.04,0.00,repos_initial
1077397,-2.99,8.68,-4.38,0.02,0.03,0.00,repos_initial
1077411,-3.00,8.70,-4.37,0.02,0.03,-0.00,repos_initial
1077425,-3.00,8.69,-4.35,0.02,0.03,-0.01,repos_initial
1077439,-2.97,8.74,-4.37,0.01,0.03,-0.01,repos_initial
1077453,-2.95,8.73,-4.34,0.01,0.04,-0.00,repos_initial
1077467,-2.98,8.71,-4.39,0.01,0.04,-0.00,repos_initial
1077481,-3.03,8.71,-4.30,0.00,0.04,-0.00,repos_initial
1077495,-3.00,8.68,-4.38,0.00,0.05,-0.00,repos_initial
1077509,-2.98,8.69,-4.33,0.00,0.05,-0.00,repos_initial
1077523,-2.93,8.67,-4.35,0.00,0.04,-0.01,repos_initial
1077537,-2.97,8.69,-4.41,0.00,0.04,-0.01,repos_initial
1077551,-2.96,8.69,-4.43,0.00,0.05,-0.01,repos_initial
1077565,-2.96,8.68,-4.36,0.00,0.05,-0.00,repos_initial
1077579,-2.92,8.66,-4.42,0.01,0.04,-0.00,repos_initial
1077593,-2.94,8.70,-4.40,0.01,0.02,-0.00,repos_initial
1077607,-2.93,8.69,-4.46,0.01,0.01,0.00,repos_initial
1077621,-3.02,8.68,-4.40,0.02,0.02,-0.00,repos_initial
1077635,-3.03,8.73,-4.44,0.01,0.04,-0.00,repos_initial
1077649,-3.02,8.72,-4.39,0.01,0.04,-0.01,repos_initial
1077663,-2.97,8.71,-4.38,0.01,0.04,-0.01,repos_initial
1077677,-2.95,8.75,-4.38,0.01,0.04,-0.01,repos_initial
1077691,-3.01,8.72,-4.35,0.01,0.04,-0.01,repos_initial
1077705,-3.10,8.68,-4.41,0.01,0.05,-0.00,repos_initial
1077719,-3.09,8.71,-4.45,0.01,0.07,-0.00,repos_initial
1077733,-3.06,8.66,-4.42,0.01,0.08,-0.00,repos_initial
1077747,-3.04,8.57,-4.40,0.00,0.08,-0.01,repos_initial
1077761,-2.98,8.68,-4.43,0.01,0.08,-0.02,repos_initial
1077775,-2.93,8.63,-4.41,0.01,0.05,-0.03,repos_initial
1077789,-2.93,8.67,-4.43,0.02,0.02,-0.03,repos_initial
1077803,-2.96,8.69,-4.39,0.02,-0.00,-0.03,repos_initial
1077817,-3.03,8.69,-4.46,0.03,-0.00,-0.03,repos_initial
