timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1550184,-3.15,0.17,-10.96,0.12,-0.55,-0.48,repos
1550198,-2.71,0.06,-10.36,0.07,-0.67,-0.48,repos
1550212,-2.76,0.04,-10.31,0.03,-0.89,-0.49,repos
1550226,-3.45,0.07,-10.27,-0.02,-1.08,-0.48,repos
1550240,-3.86,0.06,-10.21,-0.05,-1.27,-0.48,repos
1550254,-4.38,0.07,-10.33,-0.07,-1.39,-0.47,repos
1550268,-4.67,-0.04,-10.40,-0.06,-1.36,-0.44,repos
1550282,-4.58,-0.14,-10.44,-0.05,-1.38,-0.43,repos
1550296,-4.74,-0.30,-10.36,-0.05,-1.37,-0.42,repos
1550310,-4.92,-0.44,-10.14,-0.05,-1.31,-0.42,repos
1550324,-4.54,-0.61,-9.81,-0.06,-1.38,-0.42,repos
1550338,-5.00,-0.76,-9.49,-0.06,-1.45,-0.40,repos
1550352,-5.15,-0.72,-9.39,-0.07,-1.62,-0.39,repos
1550366,-5.46,-0.70,-9.06,-0.10,-1.85,-0.38,repos
1550380,-5.76,-0.73,-8.85,-0.09,-1.99,-0.38,repos
1550394,-6.27,-0.62,-8.76,-0.11,-1.99,-0.38,repos
1550408,-6.67,-0.60,-8.88,-0.12,-1.85,-0.39,repos
1550422,-6.55,-0.62,-8.72,-0.12,-1.68,-0.40,repos
1550436,-6.95,-0.50,-8.51,-0.11,-1.45,-0.38,repos
1550450,-6.57,-0.61,-8.14,-0.10,-1.30,-0.37,repos
1550464,-6.72,-0.72,-7.97,-0.09,-1.19,-0.34,repos
1550478,-6.51,-0.58,-7.94,-0.09,-1.15,-0.33,repos
1550492,-6.72,-0.58,-7.80,-0.08,-1.11,-0.31,repos
1550506,-6.77,-0.53,-7.85,-0.07,-1.05,-0.29,repos
1550520,-7.12,-0.53,-7.97,-0.05,-0.96,-0.26,repos
1550534,-7.24,-0.53,-7.98,-0.04,-0.86,-0.24,repos
1550548,-7.71,-0.82,-7.67,-0.03,-0.83,-0.25,repos
1550562,-6.98,-0.40,-7.90,-0.02,-0.83,-0.21,repos
1550576,-7.20,-0.78,-7.96,-0.05,-0.96,-0.20,repos
1550590,-6.92,-0.66,-7.39,0.03,-1.10,-0.21,repos
1550604,-7.28,-0.78,-8.02,-0.09,-1.29,-0.19,repos
1550618,-7.53,-0.56,-7.43,0.01,-1.40,-0.19,repos
1550632,-7.84,-0.76,-7.17,-0.01,-1.50,-0.20,repos
1550646,-7.62,-0.74,-6.94,0.00,-1.64,-0.20,repos
1550660,-8.15,-0.75,-6.74,0.02,-1.75,-0.20,repos
1550674,-8.64,-0.89,-6.45,0.04,-1.65,-0.21,repos
1550688,-8.72,-0.94,-6.18,0.06,-1.53,-0.21,repos
